"

		規格總覽 GENERAL SPECIFICATIONS"
型號,Sony A3000
主要賣點,對應 E-Mount 鏡頭、全高清拍片、自動構圖剪裁功能、ISO 16000 高感光
相機格式,2010 萬像素，可換鏡頭式數碼相機
推出日期,約 2013 年 8 月 
"








"
"

	影像規格 IMAGE SPECIFICATIONS"
感光元件像素,2010 萬像素
有效像素,2010 萬像素
感光元件格式,APS-C
感光元件大小,23.4 x 15.6 mm
感光元件種類,CMOS
感光元件生產商,APS-C Exmor HD CMOS
最大解像度,5456 x 3632
解像度選擇,5456 x 3632 ; 4912 x 3264 ; 3568 x 2368 ; 2448 x 1624 ; 2448 x 1376
壓縮模式,JPEG
質素調較,"Fine, Standard"
無壓縮影像格式,RAW、RAW + JPEG (Fine)、RAW + JPEG (Standard)
影像比例,3:2 / 16:9
動畫解像度,"1920 x 1080, 59.94p/24.94p 1440 x 1080, 29.97p640 x 480, 29.94 fps"
動畫種類,AVCHD / MOV
動畫音效,支援立體聲收音
訊號轉換器,12 bits
雜訊消除,支援，可選擇開關
防手震功能,Super SteadyShot INSIDE
"

	鏡頭規格 LENS SPECIFICATIONS"
鏡片組合,視鏡頭而定
鏡片焦距,視鏡頭而定
135 格式焦距,視鏡頭而定
變焦能力,視鏡頭而定
數碼變焦,視鏡頭而定
光圈範圍,視鏡頭而定
焦距變換比率,1.5 倍
自動對焦情況,25 點自動對焦 (Contract Detecion)追蹤對焦單次自動對焦連續對焦人面對焦
AF Assist Light,支援閃燈頻閃
手動對焦,支援
正常對焦範圍,視鏡頭而定
微距對焦範圍,視鏡頭而定
鏡頭接環,Sony E-Mount 接環
轉換鏡頭,視鏡頭而定
"

	曝光控制 EXPOSURE CONTROLS"
曝光模式,1. 支援光圈先決2. 支援快門先決3. 支援手動曝光
場景模式,未有資料
快門速度, 至  秒，支援 B 快門
測光模式,1200 區測光重心偏重平均測光重點測光
曝光補償,-2EV 至 +2EV 以 1/3 EV 級調整
自動曝光鎖,支援，設有獨立 AEL 掣
包圍曝光,以 0.3 或 0.7 EV 間距拍攝 3 張
ISO 感光值,ISO 100-16000
白平衡設定,自動、日光、陰影、密雲、鎢絲燈、光管、閃燈支援，另有指定 Kelvin 模式手動白平衡設定
自拍,2 秒及10 秒延時自拍自拍模式
連拍,於 AE 鎖定的 High Speed Shooting 模式下，提供 3.5fps 的連拍（一般模式下最高為 2.5fps）
"

	閃光燈 FLASHES"
閃燈模式,補光閃燈 / 紅眼消減 / 後簾快門同步 / 無線離機閃燈 / 高速同步 (配合外置閃燈)ADI /P-TTL 閃燈控制最高同步快門為 1/160s
閃燈範圍,6 米
外接閃燈,支援，熱靴插座 (Hot Shoe)
閃燈同步模式,支援前後簾快門
"

	觀景器 VIEWFINDER"
LCD 熒光幕,"3.0 吋 吋  (230,400 像素) LCD 熒光幕 ，視野率為 100 %"
光學觀景器,EVF ，光學觀景器的準確度為 100%
"

	資料存取 DATA TRANSFER"
儲存媒體,SD/SDHC/SDXCMemory Stick Pro Duo / Pro-HG Duo
接口,USB 2.0 Full Speed 12MB
視頻輸出,PAL / NTSC / HDMI
打印協定,PictBridge / DPOF /  Exif Print  /  PIM III
"

	電源 POWER SUPPLIES"
電池種類,鋰離子充電池
隨機電池及充電器,鋰離子充電池及專用充電器
電池壽命,460 張
支援火牛輸入,支援
"

	機身資料 PHYSICAL SPECIFICATIONS"
腳架座材料,金屬
機身重量,
重量(含電池),281 克
體積,128.0 x 90.9 x 84.5mm
"

	其它資料 OTHERS"
搖遠控制,支援
"

	其它資料 OTHERS"
附註,自動構圖功能（Auto Object Framing）
 ,規格比拼
