"

		規格總覽 GENERAL SPECIFICATIONS"
型號,Sony A6100
主要賣點,"2,420 萬像素APS-C Exmor CMOS動物眼部自動對焦最高 ISO 51200425 點相位檢測對焦點無像素合併 4K 影片可向上 180 度自拍觸控屏幕"
相機格式,2500 萬像素，可換鏡頭式數碼相機
推出日期,約 2019 年 8 月 
"








"
"

	影像規格 IMAGE SPECIFICATIONS"
感光元件像素,2500 萬像素
有效像素,2420 萬像素
感光元件格式,APS-C
感光元件大小,23.5 x 15.6mm
感光元件種類,CMOS
感光元件生產商,Sony
最大解像度,6000 x 4000
解像度選擇,"[3:2]
L: 6000 x 4000 (24M), M: 4240 x 2832 (12M), S: 3008 x 2000 (6.0M)

[16:9]
L: 6000 x 3376 (20M),　M: 4240 x 2400 (10M),　S: 3008 x 1688 (5.1M)

[1:1] 
L: 4000 x 4000 (16M),　M: 2832 x 2832 (8.0M),　S: 2000 x 2000 (4.0M)"
壓縮模式,JPEG (EXIF 2.31)
質素調較,Extra Fine、Fine、Standard
無壓縮影像格式,RAW
影像比例,3:2 / 16:9 / 1:1
動畫解像度,"XAVC S 4K（Super 35mm 格式全像素輸出，非像素合併）：3840 x 2160（24p/25p/30p）
XAVC S HD：1920 x 1080（24p/25p/30p/50p/60p/100p/120p）
AVCHD：1920 x 1080（50i/60i）"
動畫種類,XAVC S；AVCHD Ver. 2.0 相容、MPEG-4
動畫音效,立體聲
訊號轉換器,14 bits
雜訊消除,支援
"

	鏡頭規格 LENS SPECIFICATIONS"
鏡片焦距, mm
135 格式焦距, mm 至  mm
變焦能力,
焦距變換比率,1.5 倍
自動對焦情況, 自動 AF（AF-A）；單點 AF（AF-S）；連續 AF（AF-C）；直接手動對焦（DMF）；手動對焦（MF）  425 點對比度式自動對焦點／425 點相位檢測自動對焦點支援人類／動物眼部自動對焦（可在 AF-C 模式使用）
AF Assist Light,支援
手動對焦,支援
鏡頭接環,Sony E 接環
"

	曝光控制 EXPOSURE CONTROLS"
曝光模式,1. 支援光圈先決2. 支援快門先決3. 支援手動曝光
場景模式,人像、運動、微距、風景、日落、夜景、手持夜景、夜景人像、減震
快門速度,1/4000 至 30 秒，支援 B 快門
測光模式,多區分割、中央偏重、定點、定點（標準 / 大）、全屏平均、高光
曝光補償,+/- 5 EV 以 1/3EV 或 1/2EV 級調整 以 1/3EV 級調整
自動曝光鎖,支援
包圍曝光,+/-3.0EV（每次 1/3EV 或 1/2EV）
ISO 感光值,ISO 100 - 32000（可 1/3 級調整）；可擴展至 ISO 51200
白平衡設定,自動白平衡；日光；陰影；陰天；白熾燈；螢光燈；（暖白／冷白／日光白／日光）；閃光燈；色溫 2500 至 9900K；彩色濾鏡（G7 至 M7：57 級；A7 至 B7：29 級）；自訂；水中；支援手動白平衡設定支援手動白平衡設定
自拍,自拍計時（10/5/2 秒延遲）；自拍計時（連續）（10 秒延遲；3 次/5 次曝光）自拍模式
連拍, H+：最高 11fps（最多可連拍 76 張 JPEG Extra Fine L）  H：最高 8fps  Mid：最高 6fps  Low：最高 3fps
定時拍攝,支援
"

	閃光燈 FLASHES"
閃燈模式,關閉、自動、強制閃燈、慢步同速閃燈、後簾同步閃光燈、防紅眼、無線（另購兼容外置閃光燈）、高速閃光同步
閃燈範圍,GN6（ISO 100、米）
外接閃燈,支援，兼容多介面熱靴 Sony α 系統閃光燈
閃燈同步模式,支援前後簾快門
"

	觀景器 VIEWFINDER"
LCD 熒光幕,"觸控式、3 吋  (921,600 像素) TFT LCD 熒光幕 ，視野率為 100 %"
光學觀景器,"0.39""、144 萬像素電子觀景器，光學觀景器的準確度為 100%"
"

	資料存取 DATA TRANSFER"
儲存媒體,SD/SDHC/SDXCMemory Stick Pro Duo / Pro HG Duo
接口,Micro USB、Micro HDMI（Type D）、3.5mm 收音咪
視頻輸出,Micro HDMI
打印協定,"Exif Print, PIM III, DPOF"
"

	電源 POWER SUPPLIES"
電池種類,NP-FW50 專用鋰電池
隨機電池及充電器,NP-FW50 專用鋰電池
電池壽命,約 380 張（觀景器）；約 420 張（LCD 屏幕）（CIPA 標準）
"

	機身資料 PHYSICAL SPECIFICATIONS"
腳架座材料,金屬
機身重量,
重量(含電池),396 克
體積,120.0 x 66.9 x 59.4mm
"

	其它資料 OTHERS"
 ,規格比拼
